,working,student,inactive
AT,0.591477133,0.062575294,0.345947574
BE,0.521000423,0.058152466,0.420847111
BG,0.517236038,0.045900869,0.436863093
CH,0.661258463,0.044504441,0.294237096
CY,0.566698054,0.063319209,0.369982737
CZ,0.604200609,0.04391254,0.35188685
DE,0.60460713,0.045801642,0.349591228
DK,0.59282562,0.071250877,0.335923503
EE,0.613166747,0.049103316,0.337729938
EL,0.421830166,0.081758029,0.496411805
ES,0.495991714,0.053517261,0.450491025
FI,0.555366468,0.069275224,0.375358308
FR,0.535747496,0.050687728,0.413564776
HR,0.47163812,0.048599754,0.479762126
HU,0.558527392,0.03812258,0.403350028
IE,0.601709451,0.063497107,0.334793441
IT,0.461035621,0.036922986,0.502041393
LT,0.590361446,0.058389646,0.351248909
LU,0.586654521,0.015836939,0.39750854
LV,0.571990204,0.054319412,0.373690384
MT,0.562136728,0.038095765,0.399767506
NL,0.608482569,0.064493573,0.327023857
NO,0.638294121,0.069889919,0.291815961
PL,0.557938577,0.055399465,0.386661958
PT,0.550738608,0.041342386,0.407919006
RO,0.534843406,0.034236861,0.430919733
SE,0.630404169,0.056089915,0.313505916
SI,0.545279615,0.048585689,0.406134696
SK,0.575808923,0.038828281,0.385362797
UK,0.620634908,0.048406445,0.330958647
