Saturday,FR,DE,IT,PL,ES,UK
,1.071811361,0.643086817,0.535905681,1.143265452,0.571632726,0.643086817
,1.071811361,0.643086817,0.535905681,1.143265452,0.571632726,0.643086817
,1.071811361,0.643086817,0.535905681,1.143265452,0.571632726,0.643086817
,1.071811361,0.643086817,0.535905681,1.143265452,0.571632726,0.643086817
,1.071811361,0.643086817,0.535905681,1.143265452,0.571632726,0.643086817
,1.071811361,0.643086817,0.535905681,1.143265452,0.571632726,0.643086817
,1.071811361,0.643086817,0.535905681,1.143265452,0.571632726,0.643086817
,1.071811361,0.643086817,0.535905681,1.143265452,0.571632726,0.643086817
,1.071811361,0.643086817,0.535905681,1.143265452,0.571632726,0.643086817
,8.360128617,7.288317256,10.3965702,7.18113612,6.002143623,9.271168274
,8.360128617,7.288317256,10.3965702,7.18113612,6.002143623,9.271168274
,8.360128617,7.288317256,10.3965702,7.18113612,6.002143623,9.271168274
,8.102893891,8.938906752,7.073954984,8.424437299,8.553054662,9.678456592
,8.102893891,8.938906752,7.073954984,8.424437299,8.553054662,9.678456592
,8.102893891,8.938906752,7.073954984,8.424437299,8.553054662,9.678456592
,8.102893891,8.938906752,7.073954984,8.424437299,8.553054662,9.678456592
,8.102893891,8.938906752,7.073954984,8.424437299,8.553054662,9.678456592
,8.360128617,7.717041801,8.360128617,7.556270096,8.520900322,4.421221865
,8.360128617,7.717041801,8.360128617,7.556270096,8.520900322,4.421221865
,1.736334405,2.443729904,2.443729904,2.250803859,3.536977492,1.832797428
,1.736334405,2.443729904,2.443729904,2.250803859,3.536977492,1.832797428
,1.736334405,2.443729904,2.443729904,2.250803859,3.536977492,1.832797428
,1.736334405,2.443729904,2.443729904,2.250803859,3.536977492,1.832797428
,1.736334405,2.443729904,2.443729904,2.250803859,3.536977492,1.832797428
